date,wd,ws,temp_K,mixing_height_m
01-01-2024 0:00,201.15,2.24,287.19,258.75
01-01-2024 1:00,206.49,1.86,286.5,172.48
01-01-2024 2:00,216.25,0.94,285.56,88.38
01-01-2024 3:00,217.25,0.29,284.61,28.39
01-01-2024 4:00,209.81,0.69,284.19,16.49
01-01-2024 5:00,196.93,1.14,284.67,10.06
01-01-2024 6:00,170.39,0.02,283.69,2.33
01-01-2024 7:00,100.59,0,285.74,-26.87
01-01-2024 8:00,56.25,0.21,288.44,-28.51
01-01-2024 9:00,270.11,0.51,290.98,-35.37
01-01-2024 10:00,240.66,1.21,293.11,-54.14
01-01-2024 11:00,231.99,1.56,294.77,-71.91
01-01-2024 12:00,224.33,1.89,296,-80.5
01-01-2024 13:00,220.75,2.19,296.97,-103.69
01-01-2024 14:00,209.89,2.53,297.44,-117.32
01-01-2024 15:00,209.67,2.91,297.64,-141.12
01-01-2024 16:00,209.41,3.02,297.62,-170.83
01-01-2024 17:00,210.91,3.22,297.21,-221.27
01-01-2024 18:00,207.24,3.23,296.46,-463.99
01-01-2024 19:00,204.46,2.46,295.29,630.04
01-01-2024 20:00,202.14,2.22,293.08,160.75
01-01-2024 21:00,195.57,2.83,291.3,235.04
01-01-2024 22:00,204.36,2.43,289.94,201.07
01-01-2024 23:00,207.36,1.25,288.5,99.45
02-01-2024 0:00,210.62,1.05,287.61,74.56
02-01-2024 1:00,204.04,0.81,286.58,69.49
02-01-2024 2:00,177.94,0.56,285.93,35.66
02-01-2024 3:00,180.97,0.72,285.49,16.87
02-01-2024 4:00,130.02,0.63,285.59,5.1
02-01-2024 5:00,162.65,0.6,285.83,-57.64
02-01-2024 6:00,78.35,0.02,285.71,-27.1
02-01-2024 7:00,219.84,0.13,286.14,-25.16
02-01-2024 8:00,217.41,0.21,289.05,-31.93
02-01-2024 9:00,231.59,1.08,292,-46.86
02-01-2024 10:00,222.95,1.5,293.95,-63.84
02-01-2024 11:00,216.07,1.66,295.54,-67.63
02-01-2024 12:00,213.97,1.78,297.06,-83.28
02-01-2024 13:00,213.31,1.97,298.12,-88.88
02-01-2024 14:00,213.46,1.97,298.92,-107.88
02-01-2024 15:00,216.12,2.12,299.45,-129.48
02-01-2024 16:00,215.54,2.33,299.64,-173.71
02-01-2024 17:00,218.16,2.29,299.52,-275.94
02-01-2024 18:00,214.58,2.01,299,-1011.65
02-01-2024 19:00,195.78,0.75,297.54,131.66
02-01-2024 20:00,171.75,0.09,294.14,24.97
02-01-2024 21:00,332.25,0.05,293.1,24.03
02-01-2024 22:00,271.29,1.04,293.17,8.02
02-01-2024 23:00,4.96,0.75,291.94,5.95
03-01-2024 0:00,42.59,1.19,290.1,81.19
03-01-2024 1:00,64.92,1.24,289.21,87.08
03-01-2024 2:00,79.49,1.29,288.63,77.44
03-01-2024 3:00,88.34,0.92,288.07,46.05
03-01-2024 4:00,104.14,0.89,287.51,43.11
03-01-2024 5:00,115.23,0.79,287.67,-66.81
03-01-2024 6:00,270.77,0.05,287.47,-31.02
03-01-2024 7:00,73.01,0.17,287.54,-28.04
03-01-2024 8:00,107.31,0.02,288.34,-25.68
03-01-2024 9:00,267.02,0.66,292.43,-35.99
03-01-2024 10:00,226.41,1.51,295.17,-67.05
03-01-2024 11:00,222.24,1.63,296.7,-70.87
03-01-2024 12:00,216.94,1.63,298.13,-85.88
03-01-2024 13:00,214.48,1.86,299.11,-94.35
03-01-2024 14:00,214.19,1.95,299.79,-120.93
03-01-2024 15:00,211.6,2.18,300.2,-162.93
03-01-2024 16:00,214.77,2.27,300.31,-216.48
03-01-2024 17:00,211.67,2.12,300.03,-369.7
03-01-2024 18:00,205.91,1.82,299.27,-2721.91
03-01-2024 19:00,199.66,1.67,297.31,227.34
03-01-2024 20:00,187.92,1.42,294.43,74.17
03-01-2024 21:00,192.77,2.14,293.31,119.88
03-01-2024 22:00,198.7,2.3,291.89,138.3
03-01-2024 23:00,195.44,0.53,290.13,38.51
04-01-2024 0:00,242.09,0.53,289.36,5.47
04-01-2024 1:00,295.28,0.41,288.39,4.19
04-01-2024 2:00,66.47,0.85,288.1,-933.91
04-01-2024 3:00,97.4,1.08,288.02,-85.49
04-01-2024 4:00,111.52,0.92,287.95,-74.84
04-01-2024 5:00,102.56,0.54,287.88,-48.01
04-01-2024 6:00,86.54,0.28,287.72,-38.02
04-01-2024 7:00,50.04,0.5,287.89,-36.88
04-01-2024 8:00,34.26,0.34,288.4,-29.45
04-01-2024 9:00,302.56,0.38,292.56,-33.99
04-01-2024 10:00,256.08,1.19,295.03,-53.34
04-01-2024 11:00,221.56,1.88,296.47,-83.97
04-01-2024 12:00,218.12,1.89,297.75,-85.07
04-01-2024 13:00,218.12,2.37,298.47,-98.46
04-01-2024 14:00,213.57,2.49,298.89,-117.83
04-01-2024 15:00,209.23,2.59,299.25,-132.41
04-01-2024 16:00,208.53,2.77,299.19,-165.72
04-01-2024 17:00,203.67,2.99,298.77,-237.93
04-01-2024 18:00,206.41,3.43,297.71,-577.01
04-01-2024 19:00,200.03,3.48,295.7,1741.71
04-01-2024 20:00,193.73,3.57,293.35,428.4
04-01-2024 21:00,196.5,3.16,292.38,433.66
04-01-2024 22:00,206.97,3.14,290.62,688.64
04-01-2024 23:00,203.85,2.92,289.4,715.17
05-01-2024 0:00,205.27,2.64,288.44,762.65
05-01-2024 1:00,206.32,2.15,287.82,376.85
05-01-2024 2:00,204.85,1.03,287.14,166.91
05-01-2024 3:00,212.21,0.47,286.33,97.75
05-01-2024 4:00,202.27,0.49,286.39,-42.44
05-01-2024 5:00,165.51,0.03,286.44,-30.6
05-01-2024 6:00,94.8,0.14,286.96,-31.25
05-01-2024 7:00,42.74,0.34,286.92,-32.67
05-01-2024 8:00,45.29,0.34,287.49,-29.07
05-01-2024 9:00,193.02,0.1,290.59,-27.59
05-01-2024 10:00,264.13,0.89,293.79,-45.76
05-01-2024 11:00,228.17,1.72,295.41,-71.57
05-01-2024 12:00,220.51,2.07,296.54,-89.83
05-01-2024 13:00,212.76,2.53,297.26,-104.12
05-01-2024 14:00,212.86,3.06,297.58,-137.22
05-01-2024 15:00,207.37,3.58,297.7,-176.45
05-01-2024 16:00,208.14,4.02,297.59,-233.44
05-01-2024 17:00,207.54,4.37,296.81,-361.28
05-01-2024 18:00,208.17,3.96,295.68,-703.78
05-01-2024 19:00,200.17,3.55,293.81,1067.24
05-01-2024 20:00,197.59,3.97,292.36,2569.39
05-01-2024 21:00,199.09,3.48,290.76,716.02
05-01-2024 22:00,205.55,3.12,289.61,665.1
05-01-2024 23:00,204.88,3.01,288.69,591.15
06-01-2024 0:00,205.72,2.69,288.05,473.65
06-01-2024 1:00,207.58,2.18,287.49,373.32
06-01-2024 2:00,211.09,1.53,287.06,178.6
06-01-2024 3:00,215.4,1.5,286.68,162.15
06-01-2024 4:00,167.92,0.48,286.56,80.59
06-01-2024 5:00,76,0.06,286.47,-28.29
06-01-2024 6:00,268.53,0.11,286.6,-29.67
06-01-2024 7:00,306.81,0.21,286.7,-28.64
06-01-2024 8:00,333.03,0.06,287.11,-25.78
06-01-2024 9:00,275.21,0.44,290.92,-32.11
06-01-2024 10:00,232.06,1.21,293.25,-50.17
06-01-2024 11:00,226.73,1.55,295.02,-66.19
06-01-2024 12:00,217.99,1.92,296.24,-85.79
06-01-2024 13:00,210.16,2.32,297.22,-98.61
06-01-2024 14:00,213.07,2.61,297.84,-124.4
06-01-2024 15:00,214.75,3.31,297.95,-168.73
06-01-2024 16:00,231.68,3.49,297.74,-221.05
06-01-2024 17:00,224.43,3.77,297.33,-330.46
06-01-2024 18:00,227.85,3.47,296.83,-627.63
06-01-2024 19:00,222.62,3.74,295.06,1460.36
06-01-2024 20:00,203.13,3.55,292.56,465.02
06-01-2024 21:00,198.4,2.76,291.31,477.73
06-01-2024 22:00,194.35,3.02,290.02,449.63
06-01-2024 23:00,197.98,2.81,289.06,332.35
07-01-2024 0:00,201.77,2.12,288.2,205.96
07-01-2024 1:00,207.95,1.42,287.43,117.08
07-01-2024 2:00,201.58,1.07,286.64,92.9
07-01-2024 3:00,204.73,1.02,286.1,73.92
07-01-2024 4:00,192.25,0.54,285.52,17.54
07-01-2024 5:00,197.25,0.49,285.05,19.63
07-01-2024 6:00,200.54,0.42,284.62,20.45
07-01-2024 7:00,209.25,1.15,286.51,-79.16
07-01-2024 8:00,214.97,1.61,288.68,-66.19
07-01-2024 9:00,222.79,1.89,290.53,-72.11
07-01-2024 10:00,220.6,2.33,292.16,-81.18
07-01-2024 11:00,214.75,2.4,293.67,-89.91
07-01-2024 12:00,210.72,2.52,294.99,-92.89
07-01-2024 13:00,209.09,2.77,296.07,-116
07-01-2024 14:00,213.24,3.05,296.88,-138.7
07-01-2024 15:00,210.18,2.84,297.41,-145.15
07-01-2024 16:00,213.12,2.89,297.51,-175.04
07-01-2024 17:00,216.28,3,297.25,-268.22
07-01-2024 18:00,217.64,2.76,296.72,-593.33
07-01-2024 19:00,218.04,3.16,294.88,1111.53
07-01-2024 20:00,206.36,2.26,292.38,164
07-01-2024 21:00,196.21,1.07,290.79,65.73
07-01-2024 22:00,193.08,1.13,289.75,64.87
07-01-2024 23:00,199.37,1.62,289.19,82.41
08-01-2024 0:00,191.57,1.14,288.19,60.74
08-01-2024 1:00,184.81,1.34,287.39,70.56
08-01-2024 2:00,194.25,1.46,286.89,75.05
08-01-2024 3:00,202.51,1.58,286.42,83.29
08-01-2024 4:00,211.91,1.44,285.76,78.66
08-01-2024 5:00,205.78,1.34,284.9,102.59
08-01-2024 6:00,199.43,0.69,283.89,57.15
08-01-2024 7:00,202.92,1.6,285.68,-153.52
08-01-2024 8:00,211.97,1.38,287.99,-60.71
08-01-2024 9:00,219.7,1.95,289.98,-68.78
08-01-2024 10:00,217.71,2.12,291.85,-77.01
08-01-2024 11:00,217.74,2.34,293.47,-82.65
08-01-2024 12:00,211.7,2.39,294.91,-94.33
08-01-2024 13:00,212.01,2.24,295.99,-102.32
08-01-2024 14:00,214.34,2.6,296.81,-120.18
08-01-2024 15:00,212.07,2.77,297.26,-141.99
08-01-2024 16:00,212.6,2.72,297.33,-166.06
08-01-2024 17:00,211.65,2.68,297.13,-218.63
08-01-2024 18:00,213.98,2.75,296.55,-588.76
08-01-2024 19:00,222.26,2.42,295.16,696.3
08-01-2024 20:00,199.27,2.29,292.34,176.7
08-01-2024 21:00,186.46,1.4,290.9,83.23
08-01-2024 22:00,30.32,0.04,289.06,29.23
08-01-2024 23:00,196.95,1.07,288.54,65.38
09-01-2024 0:00,196.81,0.79,287.2,66
09-01-2024 1:00,211,0.47,285.91,69.87
09-01-2024 2:00,189.99,0.23,285.22,26.77
09-01-2024 3:00,197.73,0.98,285.46,12.76
09-01-2024 4:00,196.7,0.47,285.34,3.89
09-01-2024 5:00,356.46,0.83,283.12,1
09-01-2024 6:00,280.28,0.83,282.16,1
09-01-2024 7:00,81.82,0.25,285.79,-55.13
09-01-2024 8:00,231.53,0.12,288.41,-33.82
09-01-2024 9:00,228.72,0.9,290.92,-45.08
09-01-2024 10:00,226.81,1.41,292.73,-61.78
09-01-2024 11:00,217.91,1.68,294.23,-67.65
09-01-2024 12:00,218.26,2,295.56,-87.11
09-01-2024 13:00,216.91,2.05,296.58,-89.16
09-01-2024 14:00,213.62,2.3,297.28,-113.99
09-01-2024 15:00,210.09,2.59,297.6,-136.65
09-01-2024 16:00,205.32,2.69,297.7,-165.77
09-01-2024 17:00,205.4,2.74,297.4,-231.36
09-01-2024 18:00,208.47,2.62,296.84,-588.45
09-01-2024 19:00,209.38,1.5,295.53,235.16
09-01-2024 20:00,204.8,2.4,293.14,147.45
09-01-2024 21:00,175.66,0.93,291.08,55.22
09-01-2024 22:00,191.2,0.94,289.94,52.02
09-01-2024 23:00,264.74,0.36,289.27,3.52
10-01-2024 0:00,317.94,0.6,288.4,4.89
10-01-2024 1:00,55.62,0.74,286.73,15.94
